doc_id,year,agency,doc_type,section_type,section_number,layout_list_number,text,layout_type,layout_type_and_number,page_number,element_number_within_page,row
plans-2023-dhs-equity-action-plan_text_1.p1.1,2023,dhs-equity-action-plan,plans,text,1,NA,U.S. Department of Homeland Security Equity Action Plan 2023 Update Pursuant to Executive Order 14091,Text,Text 1,1,1,1
plans-2023-dhs-equity-action-plan_title_1.p2.0,2023,dhs-equity-action-plan,plans,title,1,NA,Message from Secretary of Homeland Security Alejandro N. Mayorkas,Title,Title 1,2,0,2
plans-2023-dhs-equity-action-plan_text_2.p2.2,2023,dhs-equity-action-plan,plans,text,2,NA,"When President Biden, on his first day in office, issued Executive Order (EO) 13985, Advancing Racial Equity and Support for Underserved Communities through the Federal Government, the Department of Homeland Security (DHS) answered the call to embed equity at the center of policy, operations, and decision-making throughout the Department. At its core, equity calls for the government to treat all individuals in a fair, just, and impartial manner-with the recognition that many communities have often been denied such treatment in the past, resulting in disparities today. To underscore the priority I place on this work and secure commitments to advance equity in the Department's programs and activities, in March 2021 I convened the DHS Equity Task Force, headed by the Officer for Civil Rights and Civil Liberties, including members from all the Department's operational agencies and Headquarters offices.",Text,Text 2,2,2,3
plans-2023-dhs-equity-action-plan_text_3.p2.3,2023,dhs-equity-action-plan,plans,text,3,NA,"In April 2022, DHS released its inaugural Equity Action Plan, setting forth strategies and concrete action items to advance equity in seven key homeland security programs: (1) applying for naturalization; (2) accessing humanitarian protection during immigration processing; (3) bidding on DHS contracts; (4) countering domestic violent extremism and targeted violence; (5) filing complaints and seeking redress in DHS programs and activities; (6) airport screening; and (7) accessing Trusted Traveler Programs. The Federal Emergency Management Agency (FEMA) issued its own Equity Action Plan, focusing on strategies to advance equity in high-impact, public-facing programs: Public Assistance, Individual Assistance, the Nonprofit Security Grant Program, and Procurement.",Text,Text 3,2,3,4
plans-2023-dhs-equity-action-plan_text_4.p2.4,2023,dhs-equity-action-plan,plans,text,4,NA,"The Equity Task Force worked across the Department to further the aims of other equity- based executive orders, including EO 13988, Preventing and Combating Discrimination on the Basis of Gender Identity or Sexual Orientation; EO 14008, Tackling the Climate Crisis at Home and Abroad; and EO 14020, Executive Order on Establishment of the White House Gender Policy Council. For example, in furtherance of EO 13988, U.S. Citizenship and Immigration Services (USCIS) issued updated policy guidance removing the requirement that people requesting immigration benefits submit proof of their gender identity when seeking to change their gender marker, thereby allowing individuals requesting benefits to choose their self-identified gender marker, regardless of the marker displayed on supporting documentation. Pursuant to EO 14008, DHS continued implementing the Civil Rights Evaluation Tool, a data collection and technical assistance tool that helps conduct and advance civil rights compliance evaluations of federally assisted recipients, including environmental justice concerns and civil rights policies and procedures for public-facing programs and activities that have human health or environmental impacts. In furtherance of EO 14020, DHS developed an action plan in furtherance of the U.S. National Strategy on Gender Equity and Equality and co-chaired",Text,Text 4,2,4,5
plans-2023-dhs-equity-action-plan_text_5.p3.0,2023,dhs-equity-action-plan,plans,text,5,NA,the Emergency Preparedness and Crisis Response (Pillar 6) working group in support of the U.S. National Plan to End Gender-Based Violence.,Text,Text 5,3,0,6
plans-2023-dhs-equity-action-plan_text_6.p3.1,2023,dhs-equity-action-plan,plans,text,6,NA,"Following the issuance of EO 14091, Further Advancing Racial Equity and Support for Underserved Communities through the Federal Government, DHS reaffirmed and strengthened its commitment to advance equity in programs and activities across the homeland security enterprise, and the Equity Task Force sought opportunities to build on our progress from the inaugural plan and extend our commitment to advance equity in additional programs and activities. The 2023 Update to the DHS Equity Action Plan reflects DHS's unwavering commitment to advancing equity, highlighting the Department's recent accomplishments, and sets forth strategies and action items to advance equity in nine program areas over the coming year.",Text,Text 6,3,1,7
plans-2023-dhs-equity-action-plan_text_7.p3.2,2023,dhs-equity-action-plan,plans,text,7,NA,"As EO 14091 makes clear, advancing equity is a multigenerational, sustained commitment and requires embedding equity at the center of the agency's mission. DHS will continue to seek ways to deliver more equitable outcomes for all who interact with the Department, including members of underserved communities, not just in the specific program areas of focus in this plan, but in all programs and activities spanning the Department's varied homeland security missions.",Text,Text 7,3,2,8
plans-2023-dhs-equity-action-plan_text_8.p3.3,2023,dhs-equity-action-plan,plans,text,8,NA,"Sincerely, Alyinda Alejandro N. Mayorkas Secretary",Text,Text 8,3,3,9
plans-2023-dhs-equity-action-plan_section_header_1.p4.0,2023,dhs-equity-action-plan,plans,section-header,1,NA,I. Advancing Equity Through Agency Mission,Section header,Section header 1,4,0,10
plans-2023-dhs-equity-action-plan_text_9.p4.1,2023,dhs-equity-action-plan,plans,text,9,NA,"DHS and its homeland security mission are born from the commitment and resolve of the American people across the United States in the wake of the September 11th attacks. In those darkest hours, we witnessed true heroism, self-sacrifice, and unified resolve against evil. We rallied together for our common defense, and we pledged to stand united against the threats attacking our great nation, fellow Americans, and way of life. Today, as we continue to face new and emerging threats against the Homeland, we remain resilient, striving to prevent future attacks against the United States and our allies, responding decisively to natural and man-made disasters, and advancing American prosperity and economic security long into the future. By working to advance equity throughout the Department, we embody our commitment to the DHS mission: With honor and integrity, we safeguard the American people, our homeland, and our values. As part of his priorities for the Department, Secretary of Homeland Security Alejandro N. Mayorkas stated that his goal is to enhance openness and transparency, to build greater trust with the American people, and ensure the protection of the privacy, civil rights, civil liberties, and human rights of the communities we serve. Inherent in that vital role is an unwavering commitment to uphold the American values of advancing equity and safeguarding civil rights and civil liberties for all people, especially members of underserved communities. We strive to treat all people in a fair, just, and impartial manner.",Text,Text 9,4,1,11
plans-2023-dhs-equity-action-plan_section_header_2.p4.2,2023,dhs-equity-action-plan,plans,section-header,2,NA,II. Executive Summary of the DHS Equity Action Plan,Section header,Section header 2,4,2,12
plans-2023-dhs-equity-action-plan_text_10.p4.3,2023,dhs-equity-action-plan,plans,text,10,NA,"Pursuant to EO 14091, Further Advancing Racial Equity and Support for Underserved Communities Through the Federal Government, the 2023 Update to the DHS Equity Action Plan includes an update on the Department's progress in advancing equity; identifies potential barriers that underserved communities may face in accessing and benefiting from DHS policies, programs, and activities; sets forth strategies to address those potential barriers; and describes our commitment to meaningfully engage with underserved communities. This plan does not include an exhaustive list of programs where DHS is working to advance equity, and DHS remains committed to centering equity in decision and policy making throughout the Department.",Text,Text 10,4,3,13
